presc_id,drug_brand_name,total_claims,total_drug_cost
1147,Apexmox30,132,4131.55
1126,Wellstat916,82,5965.78
581,Neocillin545,147,7654.73
694,Curevex383,139,12307.51
965,Vitastat925,173,3439.59
177,Lifestat970,110,10326.11
914,Curevex563,158,12252.16
406,Vitamox973,183,32226.28
161,Lifezym242,194,32235.15
191,Sanicillin206,179,18365.8
954,Neofer794,121,6321.84
529,Caredol360,94,8815.25
677,Medilax236,84,7340.27
974,Medivex954,29,2311.87
350,Vitalax472,73,12307.02
261,Zencillin705,131,4434.45
220,Zentril751,84,8951.27
619,Vitacillin581,137,14400.75
489,Welltril714,159,8483.78
988,Healprofen752,99,2148.8
883,Carevir940,112,13225.34
484,Biolax321,45,5646.71
1176,Apexlax99,125,4277.71
667,Ashacin705,143,4220.31
631,Arotril170,104,2252.7
777,Vitalax767,84,9584.82
186,Wellzym92,56,10790.93
1,Swasthvirin29,194,6942.41
1089,Zencin10,75,6770.08
401,Apexprofen837,53,7355.76
1168,Apexvir49,174,13969.37
891,Ashastat75,184,36309.69
183,Swasthvir159,150,2070.63
828,Curevex23,33,5213.94
1125,Neofer71,14,151.92
736,Curestat227,29,5839.66
482,Biostat374,111,16210.88
652,Healcin685,183,15358.66
1117,Swasthstat517,55,7790.31
386,Ashafer572,143,13986.2
855,Ashavir50,40,3011.88
258,Swasthstat691,35,467.53
295,Carevir375,185,36162.82
279,Neomox211,22,906.1
934,Sanistat391,179,22965.9
369,Vitatril457,117,13314.11
922,Neomox211,99,7333.69
16,Medivex8,148,17335.51
1028,Sanifer54,69,6464.04
752,Curevir658,9,1886.96
755,Medistat835,29,4144.71
164,Swasthlax170,37,5821.96
573,Vitalax472,120,13726.77
182,Sanilax10,63,7055.22
160,Apexvex303,176,26150.49
640,Curevir803,157,3153.89
23,Swasthprofen900,121,13649.62
1176,Ashazym434,188,13802.29
604,Apexprofen837,75,3477.4
623,Wellvirin488,187,29111.01
970,Lifevir353,149,5746.17
598,Lifezide398,189,23969.98
169,Curezym614,33,4044.12
570,Bioprofen95,65,2250.93
527,Sanitril633,4,652.46
310,Carezym368,169,18314.23
536,Apexcin715,180,9425.91
1081,Vitaprofen856,9,625.77
298,Arotril924,153,27138.02
1016,Welltril920,193,43394.8
488,Ashadol298,170,17370.85
432,Sanicin833,148,22208.19
542,Aromox189,194,29439.68
951,Mediprofen671,103,10793.66
1091,Zenstat163,60,5480.29
972,Curevex110,68,2966.96
25,Neodol741,74,14254.06
647,Curefer890,136,17338.84
1089,Medicillin551,164,14606.51
559,Curevir803,86,6019.59
523,Apexdol811,168,21106.11
496,Ashazym762,188,29274.03
1065,Biomox58,87,14462.64
642,Vitamox973,141,1528.35
140,Curemox951,4,372.85
914,Swasthstat954,90,4582.19
396,Medimox688,9,121.08
445,Healvirin261,154,22482.4
246,Apextril458,23,3730.2
1160,Biovir544,48,9591.92
519,Biolax228,76,8859.76
929,Curetril365,71,12282.53
663,Apexvex981,66,2481.69
128,Zenvirin547,98,9848.7
529,Swasthdol436,68,2742.98
411,Apexvex303,157,14526.1
223,Bioprofen561,37,4293.16
218,Curelax332,114,15487.49
150,Apexstat23,19,2196.64
914,Sanizide153,5,851.78
2,Medimox986,10,1335.4
676,Swasthlax920,101,12694.76
1005,Neozide816,123,13170.48
144,Biovex473,139,7467.34
988,Lifeprofen876,32,4449.17
736,Arolax37,86,12243.43
186,Carezide629,94,12463.16
165,Wellfer602,118,17992.15
416,Carestat16,46,6315.62
392,Mediprofen671,77,12800.76
736,Sanizide849,125,3558.85
389,Lifefer681,36,548.36
489,Sanilax10,126,12023.47
631,Swasthstat691,128,16409.16
921,Vitavir7,5,78.1
88,Swasthzide788,104,3855.12
1072,Healvirin466,118,25841.5
1099,Biodol396,39,5704.14
148,Healdol471,10,1567.25
40,Vitamox973,121,23952.95
498,Apexcin715,180,21693.03
103,Biovex77,79,12181.0
350,Healdol242,152,3856.14
234,Zenstat163,128,17083.68
130,Apextril381,52,5409.66
824,Arozym551,84,3059.27
1118,Lifelax407,36,3044.5
437,Zenvirin82,196,3482.2
130,Lifetril785,31,2167.99
345,Lifemox417,179,13645.51
499,Zenvirin433,149,2457.21
771,Wellmox688,200,9304.87
166,Apexvex958,2,26.79
582,Apexvex303,107,17257.27
975,Neofer794,178,5724.98
555,Wellvex11,134,12446.19
358,Medizide629,157,23954.0
1024,Biolax321,157,32554.83
617,Swasthzide551,90,8603.87
394,Carestat994,31,7302.7
742,Vitastat925,195,40522.91
951,Apexprofen369,198,24587.83
109,Welltril920,50,1483.71
972,Arolax663,128,6130.82
89,Heallax722,14,1828.46
891,Aromox297,65,5454.92
929,Neotril745,12,327.91
1101,Apexzide23,46,1673.24
1055,Medilax236,30,683.2
911,Mediprofen806,152,18733.26
668,Curevirin701,59,9302.17
201,Medimox812,61,10635.03
770,Zendol524,57,1469.52
112,Wellmox798,112,4954.26
932,Ashazide859,46,3618.09
398,Healcin727,162,12415.76
688,Curelax92,33,568.74
575,Neomox103,35,1132.06
857,Vitastat925,44,6565.06
605,Healprofen752,155,7020.79
349,Ashafer238,148,33261.23
178,Arotril124,106,19176.14
444,Meditril197,152,15784.34
30,Curetril365,187,19844.08
508,Curemox951,84,7512.02
306,Neozide816,147,27230.93
91,Apexzide221,11,2443.67
1033,Neolax331,9,832.91
201,Ashavirin777,116,11169.5
26,Ashazide859,178,31436.35
272,Wellvirin889,92,6664.69
186,Medidol693,5,501.47
941,Arotril94,147,20271.18
932,Curetril365,119,21665.9
831,Ashamox912,48,7769.0
951,Curezide690,181,27323.06
145,Medistat951,99,17793.22
67,Carelax872,76,6778.3
1111,Biostat374,148,27067.69
166,Lifecillin621,159,31604.98
113,Ashamox628,132,27591.52
106,Sanidol745,29,2495.14
84,Sanitril974,94,8191.42
138,Apexvex937,144,20043.04
686,Apexfer843,62,7637.68
1189,Curezym614,180,10083.41
462,Ashadol298,83,6265.74
867,Healdol292,71,1461.78
927,Carelax872,125,15118.46
963,Neolax953,182,23197.01
599,Sanivirin963,116,16923.75
135,Carevir104,49,9122.17
165,Carezym649,101,17995.54
158,Sanicin900,28,1079.77
304,Vitalax767,128,4748.82
47,Lifemox860,76,7484.25
271,Curetril724,122,9563.44
44,Vitafer340,75,3122.47
476,Neofer71,134,18170.69
703,Medivex8,168,22254.94
1086,Healvex100,141,13221.37
271,Careprofen462,79,3293.69
992,Healzym604,96,21109.85
97,Swasthcillin531,38,3037.28
341,Curemox951,159,32858.46
585,Arodol411,47,10551.32
315,Sanicin62,42,2115.26
649,Saniprofen728,148,4926.25
378,Ashazym635,53,5639.28
650,Sanilax547,89,3508.85
333,Biovir827,137,10843.45
829,Wellvir824,128,23651.63
656,Healzym604,40,485.22
1040,Vitalax980,85,11174.89
594,Medizym504,194,40835.08
302,Curecillin274,145,25323.94
694,Ashatril139,177,5789.55
83,Wellzide371,36,4673.05
51,Ashazide517,103,12670.43
732,Zenstat163,24,1870.72
400,Swasthprofen900,150,18721.17
570,Sanimox516,51,773.32
913,Ashafer290,174,22175.12
1049,Curezym840,101,4719.34
1048,Carecillin961,15,2761.86
303,Vitalax306,184,32034.05
764,Sanicin900,4,257.72
913,Neocin966,144,4290.79
910,Healstat20,190,43057.06
592,Medicillin460,42,8158.22
869,Curecillin536,187,31759.98
177,Lifevirin760,37,1908.31
1076,Neovir499,86,2305.17
770,Bioprofen353,23,282.65
560,Sanicillin468,107,4804.29
1164,Healdol292,194,34227.76
782,Zenstat494,75,7887.84
619,Biomox294,150,10850.35
950,Swasthzide551,58,788.84
538,Apexvex981,77,16974.2
968,Healvirin988,32,5015.94
855,Wellstat987,46,5265.23
502,Curevir803,8,257.02
137,Swasthlax312,154,25091.0
1159,Neocin844,112,21330.88
975,Ashazym370,178,29806.55
1179,Zenvir446,5,809.39
120,Carecillin874,38,3127.59
278,Neocin966,92,3705.94
860,Vitacillin581,163,30080.91
594,Aroprofen376,75,9797.86
1053,Carevirin703,50,7430.85
194,Healcin685,154,25048.99
648,Apexcillin761,176,27978.72
743,Arostat294,25,2803.8
295,Lifeprofen876,4,141.84
994,Vitamox783,106,9284.88
210,Curevir803,56,2130.25
386,Ashamox457,144,20946.43
1077,Mediprofen671,137,22122.07
234,Wellvirin56,107,9627.71
269,Biovex34,5,502.24
743,Sanizide413,36,6941.46
1072,Biodol510,196,36245.91
624,Medimox688,8,1133.53
264,Zenzide397,178,6383.38
257,Neolax438,54,1732.68
229,Medivex8,20,283.76
884,Zenvirin433,11,473.46
1052,Welllax523,152,3023.71
519,Neovex123,12,298.22
198,Curevir803,32,5687.21
410,Ashacin657,48,5994.19
299,Swasthcin899,192,42976.88
713,Apexzide23,91,3871.04
496,Medizide452,130,14303.75
1185,Carezide136,196,2394.2
393,Ashastat866,73,3505.31
9,Healstat572,186,5156.14
1033,Welldol776,182,20231.37
380,Sanizide849,113,14533.51
727,Zenmox709,98,9358.37
835,Ashavirin397,29,4459.73
955,Swasthvirin29,29,3307.43
740,Sanilax547,181,13091.11
169,Biocin592,84,8854.24
936,Wellvex11,154,25529.62
910,Neotril117,58,6598.44
877,Wellvirin488,49,9892.56
975,Neozide691,174,12552.12
1007,Ashadol298,173,5349.96
175,Healstat572,31,1177.74
209,Lifetril52,190,42129.02
133,Biozym818,94,18386.38
828,Saniprofen728,32,1783.43
1023,Neomox429,72,12634.12
560,Arodol427,194,33932.12
820,Ashaprofen556,92,9985.21
829,Vitastat769,125,12648.76
932,Ashazym434,28,973.58
473,Ashamox628,161,27665.72
109,Curezide286,18,1710.37
367,Swasthvir159,98,12213.94
621,Vitavir585,160,23177.25
1065,Neomox211,197,21204.34
602,Curefer853,170,18696.82
1111,Arolax663,88,15310.52
37,Biofer458,196,3228.08
244,Sanizym226,99,10930.61
907,Zenvirin86,118,1893.44
621,Ashazide244,181,7672.64
640,Lifemox417,184,17437.44
1166,Neocin844,173,19035.31
1105,Bioprofen95,147,15594.16
321,Ashazide614,130,2620.54
774,Curefer853,158,24732.34
583,Neovex829,83,1937.4
263,Healvirin988,94,8050.22
56,Arodol427,196,35237.17
200,Swasthstat954,110,8373.43
720,Wellstat916,15,1982.21
640,Wellvirin488,152,4395.85
625,Aromox297,30,2015.01
668,Wellstat301,10,1130.88
1164,Carevex448,132,23448.47
962,Zencillin672,151,2137.13
1169,Neozide754,100,6622.32
1001,Healtril755,26,3532.46
1018,Swasthvirin568,129,23301.28
342,Neovex649,158,12588.98
414,Biovex293,128,19950.82
155,Healvirin466,138,6850.15
609,Mediprofen228,147,12289.29
189,Medivirin149,184,29108.54
690,Curezym614,70,1818.51
974,Vitavirin494,110,6244.09
619,Biozide74,130,21794.1
1106,Sanicillin705,81,3969.65
1056,Zenstat432,117,17133.43
39,Biodol396,161,26797.45
1182,Swasthzide788,128,7677.41
958,Apexcin50,69,13752.39
889,Healvex100,145,19707.09
411,Medivex259,94,8943.44
615,Ashatril139,112,11407.24
132,Healzym92,163,8122.48
588,Healcin685,166,7438.04
484,Swasthlax920,104,5435.98
57,Aroprofen376,63,10101.08
995,Apexprofen369,144,29321.69
76,Curelax111,52,1970.74
530,Ashaprofen638,72,9271.29
87,Healcillin124,185,17147.66
172,Ashavex93,81,11681.12
834,Medicillin326,94,15079.77
813,Sanivir864,186,30719.22
1170,Carevirin391,189,18587.1
1189,Zenstat163,199,36302.0
185,Saniprofen728,61,8559.78
642,Wellvirin56,85,16024.0
484,Medivex682,109,5224.06
439,Ashaprofen729,71,6481.14
115,Neofer496,126,15573.1
232,Curecillin274,82,9718.51
505,Bioprofen561,72,15059.69
744,Healfer23,122,20416.71
44,Swasthstat954,166,34781.37
112,Neovir499,177,35934.77
519,Ashavex496,142,12880.72
744,Vitazide589,176,6776.62
907,Lifevir237,100,1365.81
524,Ashavex771,78,2428.39
483,Vitafer611,77,4490.85
899,Curetril365,162,13018.37
833,Vitastat632,9,516.16
1007,Carevirin391,121,21382.48
682,Welltril920,184,19521.31
206,Ashamox987,42,6304.97
721,Curestat227,108,15370.5
670,Sanilax10,117,18762.31
377,Carelax872,162,16677.69
7,Medistat951,103,4904.25
1180,Ashacin657,22,666.1
267,Neozide816,153,24422.55
655,Ashamox457,116,13114.01
534,Ashatril139,45,7264.56
578,Neomox257,51,1341.48
806,Healzym92,97,21420.44
460,Apexfer997,6,1342.7
469,Ashatril184,23,4305.13
346,Vitavir585,13,1152.68
533,Sanifer841,39,1060.84
1162,Apextril105,31,415.84
930,Healcin565,173,17385.78
417,Curecillin274,49,10636.84
546,Ashaprofen172,74,11399.27
884,Medizide455,53,7877.95
580,Vitazide172,187,26591.72
837,Sanimox719,38,701.08
483,Zenvirin86,159,14825.98
1194,Medivirin149,176,21665.18
961,Medizide452,35,7326.92
815,Wellzide657,176,8989.84
867,Arotril94,189,21513.21
1141,Lifecillin235,16,375.52
965,Carezide624,91,21442.07
94,Sanimox719,2,126.39
620,Medizide452,102,13182.71
1146,Wellvir883,11,1294.22
1032,Apexvir49,127,27593.7
271,Vitamox973,23,1712.27
291,Apexmox913,67,1970.24
262,Ashamox457,128,25861.05
739,Vitastat241,111,8231.01
541,Caremox55,133,10790.22
647,Swasthmox590,189,42459.71
310,Neodol14,143,26999.35
902,Ashamox912,14,588.79
376,Apexzide221,10,942.87
957,Vitacillin927,112,4193.93
1014,Sanicin833,11,1235.87
1149,Carezym649,125,11318.69
304,Swasthcin514,32,2350.51
582,Sanizide153,47,8916.75
559,Zencin870,145,27961.98
1196,Medivex159,2,235.55
853,Apexvex997,20,1191.52
194,Carevir940,85,1401.79
250,Healcillin124,101,9640.46
218,Curecillin274,83,3008.69
983,Ashafer324,117,14847.65
12,Swasthcillin239,85,18110.99
928,Carevir940,84,19152.1
1166,Arotril94,34,1559.79
580,Curevex229,83,15068.92
1121,Vitafer673,155,13033.22
365,Vitastat241,62,13902.27
183,Neovex307,6,978.94
825,Ashaprofen408,73,11514.78
316,Curevex754,31,2358.7
636,Apexvirin676,176,22110.74
197,Swasthcin718,95,10681.8
795,Neofer634,122,8039.58
185,Mediprofen276,194,17698.08
382,Curedol414,112,13492.37
1052,Carezym249,88,18918.71
318,Zentril800,127,15310.94
172,Apexvirin676,75,6856.22
979,Sanicillin705,77,2762.57
616,Welllax523,64,6921.3
98,Sanivex389,142,3183.51
221,Swasthmox590,131,11034.4
1165,Neoprofen369,65,5421.27
1032,Vitaprofen856,5,173.82
368,Neofer71,47,7306.05
853,Carezym368,181,12963.56
932,Bioprofen499,194,28967.77
543,Neolax331,88,19794.44
384,Healcillin539,55,2792.47
532,Medicin6,173,5540.23
12,Healvirin466,102,3122.15
978,Arotril170,118,19371.33
997,Apexvex981,78,11857.58
739,Curezide286,177,27046.16
809,Swasthdol791,78,1955.14
391,Sanicin900,29,5306.75
386,Neomox103,7,381.22
496,Swasthvirin29,112,22037.59
1104,Vitacillin351,49,1460.61
304,Neolax842,122,10283.53
313,Sanitril450,190,32421.01
966,Biovex473,6,1118.77
413,Zencin10,76,10331.32
105,Apexlax758,86,1076.78
885,Ashastat332,107,20541.64
1136,Bioprofen95,75,1302.92
1052,Sanicillin206,152,26500.41
1000,Healvirin261,60,9254.31
865,Ashazide859,148,9522.96
855,Apexcin306,122,4271.91
711,Healvirin988,115,14853.93
590,Vitazide589,186,8679.69
476,Medivirin312,130,7888.48
695,Wellstat301,155,29741.15
960,Neotril117,34,6751.99
800,Welldol776,107,19841.98
738,Medivex682,121,22601.66
425,Apexvex958,73,9545.57
989,Neostat267,34,1381.95
1008,Carezym368,26,4944.36
1012,Neolax812,78,4544.07
38,Apexvex914,92,16434.31
325,Zenvir276,45,8796.37
66,Medicillin551,17,1177.91
465,Carevirin703,31,3786.27
697,Biocin592,91,16074.71
1141,Ashazym434,69,14381.76
1056,Wellvex823,155,23646.52
897,Curezym441,118,25647.23
217,Sanimox547,157,22867.93
209,Neofer82,144,2411.31
242,Biomox375,53,9190.4
599,Apexfer761,182,17972.3
204,Sanistat774,40,5319.94
283,Swasthlax920,32,5653.34
852,Zenvirin646,197,29942.82
971,Vitalax491,88,5398.69
545,Curevir658,96,14348.41
503,Lifefer681,39,6322.94
468,Arostat294,36,5984.49
839,Welltril1,118,23755.42
741,Ashafer324,8,851.36
1060,Neofer657,18,467.33
337,Apexlax435,112,2738.25
310,Vitatril45,148,3383.51
1065,Swasthcillin531,76,7944.21
1134,Sanimox135,78,11405.79
705,Vitafer340,3,586.66
301,Curevir151,180,17069.41
1115,Curemox951,160,28009.94
708,Healzym604,167,13913.0
618,Medimox662,22,374.67
259,Swasthlax920,134,26200.21
191,Neozide816,131,15892.44
328,Caredol360,6,104.55
530,Healmox192,62,10331.75
866,Apexvex303,130,3697.56
764,Neocillin820,67,8706.45
98,Sanitril974,194,24311.62
611,Curecillin274,147,22843.05
484,Ashaprofen556,191,40434.74
1093,Ashamox987,153,8242.4
1174,Carelax502,173,6415.06
508,Medizide455,27,2097.68
740,Swasthtril822,117,3728.27
844,Healzym604,21,593.95
267,Healvirin421,122,5724.02
1078,Vitalax472,104,13368.77
809,Swasthvirin29,68,8977.56
902,Ashavex93,177,34630.97
854,Vitalax491,42,1474.64
938,Sanivirin963,34,6949.24
1084,Ashastat866,31,4561.62
67,Heallax258,192,8158.9
244,Wellzym92,155,24867.85
757,Neozym255,147,10101.49
242,Apexlax758,96,6602.29
603,Neotril117,125,1805.08
864,Bioprofen95,13,2423.29
581,Sanimox351,56,2813.65
5,Zenzide317,32,3358.09
92,Zenvirin433,107,10775.38
927,Carecillin961,87,14372.54
272,Arovex70,196,7765.92
922,Ashaprofen729,171,18906.94
667,Carezym564,23,4095.28
839,Neocin844,100,5524.61
1108,Biodol510,12,2689.29
569,Apexlax99,166,4228.22
51,Zentril751,147,21576.11
633,Apexzide23,144,20870.41
175,Swasthvex584,50,10172.96
109,Sanimox516,146,17927.8
1030,Arocin635,5,193.98
369,Ashamox457,5,299.31
1187,Vitavir7,114,3152.07
657,Arocin635,103,13150.25
48,Caremox55,88,8387.35
1082,Zenzide397,82,6279.48
204,Curetril365,139,5499.86
524,Medimox688,197,5282.4
835,Apexfer761,174,7951.98
667,Ashavirin777,47,653.88
799,Medizym361,26,1884.91
664,Vitafer960,67,6258.68
248,Apexvirin676,14,764.09
485,Arozym551,127,14238.15
236,Vitazym137,69,1543.46
834,Medidol693,17,1772.45
479,Welllax405,5,363.49
208,Apexstat532,64,10864.62
258,Neolax331,78,9512.36
1025,Curezide690,53,7931.6
1107,Medimox986,44,7405.18
868,Lifefer638,143,12337.56
952,Lifevirin270,159,12307.37
2,Medicillin460,16,3131.73
514,Vitazide172,175,14468.18
436,Swasthvex584,150,25062.16
331,Medifer168,190,19506.94
184,Ashavirin777,102,16726.51
1140,Zenzym888,72,12266.92
1034,Vitastat769,82,17271.01
536,Ashacin657,193,27378.76
659,Healstat20,88,5227.81
673,Welltril920,5,863.33
5,Lifemox417,156,18357.45
356,Medivex954,106,13588.62
1002,Ashamox606,196,15332.6
159,Lifetril182,138,2519.34
912,Caremox55,173,6895.46
771,Vitalax767,154,11451.29
18,Wellstat987,32,3699.88
911,Neodol927,3,141.57
576,Medicillin551,175,32624.43
185,Apexzym196,158,23249.92
453,Vitazym788,60,14012.52
76,Ashavex93,72,8291.91
429,Wellcin885,2,108.34
812,Healdol292,29,5442.78
1012,Zenvirin433,44,5547.87
1159,Ashaprofen556,173,25840.08
134,Ashamox606,151,4771.72
532,Vitavex800,146,29329.89
562,Ashazide244,50,7756.87
1092,Healzym92,158,9796.75
930,Ashamox628,1,205.57
107,Swasthlax170,83,9170.31
562,Neoprofen369,32,4633.57
741,Lifefer681,133,23897.59
460,Ashavirin397,13,837.74
920,Biovir827,81,852.39
168,Zencin870,147,28763.79
463,Healfer248,177,14778.6
512,Neofer353,51,2089.61
199,Healvirin988,8,924.84
685,Apexzide221,65,3858.12
698,Ashafer238,14,2455.55
485,Sanizym226,19,3247.25
196,Carelax262,161,14312.11
125,Welltril1,9,858.17
134,Wellvirin889,33,819.89
113,Lifetril182,78,10121.67
209,Carelax388,174,3282.11
782,Swasthcin514,103,3270.28
478,Arozide668,154,26725.08
929,Vitalax980,99,9998.18
208,Vitalax980,87,12824.49
54,Healcillin745,117,13634.74
222,Medizym361,27,371.0
397,Neodol785,147,5251.42
728,Vitalax306,108,11903.53
381,Vitafer611,63,2080.27
262,Vitazym489,80,10207.11
733,Biovex473,80,10274.69
299,Neocin966,38,4075.32
597,Ashamox426,95,19484.5
297,Curefer853,15,947.03
1146,Cureprofen228,14,1210.44
411,Neomox257,164,34009.31
700,Ashaprofen638,49,7435.13
958,Lifeprofen876,154,25192.17
1160,Curezym695,86,11206.95
333,Medidol872,27,2956.22
87,Wellfer109,127,5915.12
457,Medicillin326,178,10401.96
490,Arotril924,124,21992.42
679,Vitavex800,190,15781.28
14,Sanilax10,93,1112.93
1137,Vitastat925,30,1147.4
1200,Aromox645,196,18321.83
408,Swasthprofen711,51,3150.97
537,Biovex980,185,9206.5
504,Carelax502,46,2070.42
537,Neodol927,26,401.26
777,Arovex270,168,25025.5
431,Ashamox912,79,7720.81
763,Apexmox621,170,7655.11
889,Medidol536,183,3870.65
268,Carezide136,49,2305.17
767,Meditril676,82,12123.0
501,Swasthmox590,12,2001.54
1097,Curemox951,76,12141.02
110,Vitalax306,162,30334.81
1041,Curecin659,150,25750.55
167,Sanifer54,121,21033.25
343,Apexstat532,131,12777.29
1043,Sanifer54,96,10449.17
660,Healvir890,183,16436.61
1014,Zenvex842,122,7590.93
1196,Vitatril675,167,2734.79
416,Arovex70,116,20563.09
627,Sanizide413,109,20887.33
767,Neocin966,66,7112.35
173,Vitavir7,76,7217.94
1196,Swasthcillin531,11,1175.83
873,Curecillin274,116,11724.91
1019,Curelax332,82,4603.9
905,Zenzide317,60,3347.91
169,Lifemox417,76,13623.16
161,Ashadol971,71,12278.92
147,Biodol107,93,1542.32
403,Apexzide221,173,12436.87
563,Carestat529,49,8467.19
1113,Wellfer420,67,770.73
710,Arocin562,104,22620.8
25,Ashatril184,121,19444.79
306,Apextril891,102,6065.84
430,Neocillin458,122,7142.84
1132,Healdol292,194,21991.18
698,Sanistat981,22,1461.93
856,Vitaprofen856,54,5826.65
62,Lifevirin369,96,4060.99
626,Biolax321,189,2557.9
727,Healvirin421,87,4724.78
827,Ashafer238,196,32853.74
668,Wellmox688,151,2471.93
285,Ashavex126,40,9378.97
1164,Saniprofen728,162,30782.88
1176,Apexlax99,101,19051.72
801,Biozym818,17,1813.91
223,Wellstat301,85,10403.96
624,Lifetril182,24,1126.38
364,Carelax502,9,1625.05
55,Aroprofen11,48,2692.81
791,Neolax331,73,3540.3
1074,Vitalax767,18,1753.33
23,Biovex980,44,3720.36
801,Vitazide172,41,7621.59
857,Lifefer599,123,18907.78
423,Healfer291,34,5920.92
973,Swasthlax170,41,6042.15
416,Wellcin885,129,19568.79
414,Vitafer673,2,409.99
818,Ashavir50,155,26795.96
1166,Sanifer340,126,13171.57
187,Sanistat945,74,11553.26
711,Carelax388,180,34834.53
801,Ashavirin771,157,30182.28
851,Ashafer961,64,3064.59
885,Curezide286,118,10762.29
1165,Curelax111,25,2508.71
491,Cureprofen228,41,2767.56
598,Biodol510,171,34924.85
445,Sanitril633,127,12633.24
